rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
224,10019708,K00199.02,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0
235,10602291,K00210.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
238,9164836,K00213.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
240,12508335,K00215.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
244,9838975,K00218.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
254,5547480,K00224.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0
255,5801571,K00225.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
258,3862246,K00230.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
259,4043443,K00231.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
265,5023956,K00233.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
268,8453211,K00236.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
275,8026752,K00240.01,Kepler-502 b,CONFIRMED,FALSE POSITIVE,0.0070,0,1,0,0
280,9592579,K00243.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
305,7021681,K00255.03,,FALSE POSITIVE,FALSE POSITIVE,0.1220,1,0,1,0
306,11548140,K00256.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
308,11231334,K00258.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
309,5790807,K00259.01,,FALSE POSITIVE,FALSE POSITIVE,0.3540,0,1,0,0
316,10514430,K00263.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,0,1
317,3097346,K00264.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1
328,5716763,K00272.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
336,11401755,K00277.02,Kepler-36 b,CONFIRMED,FALSE POSITIVE,0.0630,1,0,0,0
353,6196457,K00285.03,Kepler-92 d,CONFIRMED,FALSE POSITIVE,0.4760,1,0,0,0
354,8258171,K00286.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
355,8703887,K00287.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
359,10488450,K00290.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0
363,11200415,K00293.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1
372,3438975,K00300.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1
384,7024222,K00309.01,,FALSE POSITIVE,FALSE POSITIVE,0.0010,0,0,1,0
400,8700558,K00320.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,1,0
403,8948424,K00322.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
405,9641041,K00324.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
406,9724984,K00325.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1
411,9895004,K00328.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0
412,10031885,K00329.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
420,10383687,K00334.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
421,10470206,K00335.01,,FALSE POSITIVE,FALSE POSITIVE,0.3940,0,0,1,0
422,10518725,K00336.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
429,10616571,K00340.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,0
442,11442793,K00351.01,Kepler-90 h,CONFIRMED,FALSE POSITIVE,0.0000,0,1,0,0
458,12017140,K00358.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
459,12106929,K00359.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
460,12107021,K00360.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
462,1571511,K00362.01,,FALSE POSITIVE,FALSE POSITIVE,0.0040,0,1,0,0
463,2438070,K00363.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
467,6603043,K00368.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
472,5652983,K00371.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,0,0
473,6471021,K00372.01,Kepler-539 b,CONFIRMED,FALSE POSITIVE,0.0060,1,0,0,0
476,12643589,K00376.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
477,12643589,K00376.02,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0
478,3323887,K00377.01,Kepler-9 b,CONFIRMED,FALSE POSITIVE,0.0000,1,0,0,0
479,2449074,K00378.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
480,2446113,K00379.01,,FALSE POSITIVE,FALSE POSITIVE,0.0730,0,0,1,0
482,2452450,K00380.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
483,3230578,K00381.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
484,3231137,K00382.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
491,3847708,K00389.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0
492,3849155,K00390.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0
493,3858804,K00391.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1
497,4159347,K00394.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0
498,4165960,K00395.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,0
500,4376644,K00397.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
504,7289157,K00399.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
505,2695110,K00400.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0
509,3342592,K00402.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
510,4247092,K00403.01,,FALSE POSITIVE,FALSE POSITIVE,0.0890,0,1,0,0
511,4949751,K00404.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0
512,5003117,K00405.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
513,5035972,K00406.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
514,5218441,K00407.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0
519,5351250,K00408.05,,FALSE POSITIVE,FALSE POSITIVE,0.0050,1,0,0,0
521,5449777,K00410.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
522,5478055,K00411.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1
526,5872150,K00414.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
527,5872150,K00414.02,,FALSE POSITIVE,FALSE POSITIVE,0.0170,0,0,1,0
532,6879865,K00417.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0
